TOKEN  ST_POS
integer   -1
identifier   13
;   -1
integer   -1
identifier   48
;   -1
integer   -1
identifier   49
;   -1
read   -1
(   -1
identifier   13
)   -1
;   -1
read   -1
(   -1
identifier   48
)   -1
;   -1
read   -1
(   -1
identifier   49
)   -1
;   -1
verify   -1
(   -1
identifier   13
<   -1
identifier   48
AND   -1
identifier   47
<   -1
identifier   49
)   -1
{   -1
print   -1
(   -1
identifier   47
)   -1
;   -1
}   -1
otherwise   -1
{   -1
verify   -1
(   -1
identifier   48
<   -1
identifier   47
AND   -1
identifier   48
<   -1
identifier   49
)   -1
{   -1
print   -1
(   -1
identifier   48
)   -1
;   -1
}   -1
otherwise   -1
{   -1
print   -1
(   -1
identifier   49
)   -1
;   -1
}   -1
}   -1
